,id,full_text,user,created_at,favorite_count,retweet_count,url,hashtags
938,doc_939,potu pleas dont act phoni youv spent yr tri separ us interject woke think criticalracetheori say american togeth hurricaneian know naplesflorida white privileg hypocrit,taffytwoshoes,2022-09-30 17:55:35+00:00,0,0,https://twitter.com/TaffyTwoShoes/status/1575907224584871937/photo/1,"['woke', 'criticalracetheory', 'all', 'hurricaneian', 'naplesflorida']"
939,doc_940,best site date adult 👇 linkhttpstcoygvmhvlafa covidau fibawwc opal aflwpowercrow nato copeland florida hocuspocu coolio halloween snapchat hurricaneian wiseman truss furiou wiseman ukrain gangstasparadis lyman putinwarcrimin billi,sarah mariah,2022-09-30 17:55:35+00:00,1,1,https://twitter.com/SarahMa65219206/status/1575907221162315776/photo/1,"['covid19aus', 'fibawwc', 'opals', 'aflwpowercrows', 'nato', 'copeland', 'florida', 'hocuspocus2', 'coolio', 'halloween', 'snapchat', 'hurricaneian', 'wiseman', 'truss', 'furious', 'wiseman', 'ukraine', 'gangstasparadise', 'lyman', 'putinwarcriminal', 'billie']"
940,doc_941,📢 take action hurrican ian devast florida wednesday home destroy amp commun left without power amp drink water help us support famili florida time rebuild donat faithflorida hurricaneian,faith in action,2022-09-30 17:55:33+00:00,0,0,https://twitter.com/FIAnational/status/1575907213146656768/photo/1,['hurricaneian']
941,doc_942,repmondair reppressley ilhan senschum florida miss news refin hurricaneian evacu power outag gener tri stay aliv,//name redacted// 🌊 🇺🇦,2022-09-30 17:55:31+00:00,0,0,,['hurricaneian']
942,doc_943,hurricaneian one job,e82 | the epcot legacy,2022-09-30 17:55:26+00:00,5,0,,['hurricaneian']
943,doc_944,tree split fell onto minivan venic florida wfla hurricaneian,brittany muller,2022-09-30 17:55:23+00:00,4,1,https://twitter.com/WFLABrittany/status/1575907171522732032/video/1,"['venice', 'florida', 'hurricaneian']"
944,doc_945,hurricaneian consist wife bing watch dahmer netflix show mimosa ilmstrong ilmdrunk,ava ✖️,2022-09-30 17:55:22+00:00,0,0,,"['hurricaneian', 'ilmstrong', 'ilmdrunks']"
945,doc_946,rip car guess hurricaneian,lizzie darling,2022-09-30 17:55:16+00:00,1,0,https://twitter.com/lizziedarling_/status/1575907144045469697/photo/1,['hurricaneian']
946,doc_947,here’ help impact hurricaneian kshb,cameron taylor,2022-09-30 17:55:15+00:00,0,0,,['hurricaneian']
947,doc_948,feder fund shouldnt use florida florida state govern surplu fund deplet clean within state hurricaneian,s. crew,2022-09-30 17:55:14+00:00,0,0,,['hurricaneian']
948,doc_949,midland wrbwrez noaa emerg weather alert radio hurricaneian hurricaneian hurricaneianupd hurricaneprep prep prepar storm weather weatherupd weatheralert tornado emerg radio equip southcarolina pleaseretweet,gen x college dropout life,2022-09-30 17:55:12+00:00,0,1,https://twitter.com/YulTolbert/status/1575907126207479809/photo/1,"['noaa', 'radio', 'hurricaneian', 'hurricane_ian', 'hurricaneianupdate', 'hurricaneprep', 'prep', 'prepare', 'storm', 'weather', 'weatherupdates', 'weatheralert', 'tornado', 'emergency', 'radio', 'equipment', 'southcarolina', 'pleaseretweet']"
949,doc_950,heart still ach everyon heavili impact hurricaneian mind can’t grasp almost tampa feel guilti breath sigh relief shift south us😞 continu prayer florida neighbor catastroph,rachellenft.eth,2022-09-30 17:55:09+00:00,7,0,,['hurricaneian']
950,doc_951,uhm someon say dodg bullet earlier mayb nerf ball bullet charlestonflood hurricaneian charleston lowcountrylif bare open door,sarah williams,2022-09-30 17:55:00+00:00,2,0,https://twitter.com/SarahJuno/status/1575907077423214592/video/1,"['charlestonflooding', 'hurricaneian', 'charleston', 'lowcountrylife']"
951,doc_952,hurrican ian navig insur coverag insurancelaw hurricaneian hurrtrackerapp,national law review,2022-09-30 17:55:00+00:00,0,0,,"['insurancelaw', 'hurricaneian']"
952,doc_953,ughhh southcarolina hurricaneian climatechangeisr,steffen kaplan #livestream🎬idea generator💡he/him,2022-09-30 17:55:00+00:00,2,0,,"['southcarolina', 'hurricaneian', 'climatechangeisreal']"
953,doc_954,🔴 dbl stream ▶️httpstcobepyzuv ➡️hurricaneian devast continu rescuer save peopl home ➡️appl execut fire make offcolor comment ➡️sex within marriag get bad rap w samschach jeffschroed ericacobb amp iamlindseyg,daily blast live,2022-09-30 17:55:00+00:00,0,0,https://twitter.com/dailyblastlive/status/1575907074936127490/photo/1,"['hurricaneian', 'apple']"
954,doc_955,reppressley senschum potu whitehous repmondair ilhan florida miss news refin hurricaneian evacu power outag gener tri stay aliv,//name redacted// 🌊 🇺🇦,2022-09-30 17:54:57+00:00,0,0,,['hurricaneian']
955,doc_956,capecor winndixi amp ace hardwar cape coral parkway lost part roof cover build preandrew publix first move cape hurricaneian,mark c. bove,2022-09-30 17:54:57+00:00,1,0,https://twitter.com/MarkCBove/status/1575907062181425152/photo/1,"['capecoral', 'hurricaneian']"
956,doc_957,ian hurricaneian sc nc va tornadowatch southcarolina northcarolina virginia ⁦accuweather⁩ channel,rq skye,2022-09-30 17:54:52+00:00,0,1,https://twitter.com/rqskye/status/1575907043482836992/photo/1,"['ian', 'hurricaneian', 'sc', 'nc', 'va', 'tornadowatch', 'southcarolina', 'northcarolina', 'virginia']"
957,doc_958,advis fellow floridian you’v damag home hurricaneian sign anyth someon claim either insur compani contractor con artist work home insur compani,brandon weichert,2022-09-30 17:54:50+00:00,2,0,,['hurricaneian']
958,doc_959,water level quickli rise atlant avenu garden citi wmbfnew jamiearnoldwmbf andrewwmbf scwx hurricaneian,samuel shelton wmbf news,2022-09-30 17:54:46+00:00,0,1,https://twitter.com/SamuelDavon_/status/1575907018216546304/video/1,"['scwx', 'hurricaneian']"
959,doc_960,charitywatch say dont make millionair disast victim read full articl hurricaneian hurricanefiona hurrican,charitywatch tips,2022-09-30 17:54:34+00:00,0,0,https://twitter.com/CWTips/status/1575906967524032517/photo/1,"['hurricaneian', 'hurricanefiona', 'hurricane']"
960,doc_961,oh joey potu “coasties” coasti hurricaneian cnn foxnew know prefer coasti pronoun 😂😂,klephus22,2022-09-30 17:54:23+00:00,0,0,,"['coasties', 'hurricaneian', 'cnn', 'foxnews']"
961,doc_962,you’r look somewher donat survivor hurricaneian may suggest,͏postcards4usa,2022-09-30 17:54:22+00:00,1,0,https://twitter.com/postcards4USA/status/1575906917175943169/photo/1,['hurricaneian']
962,doc_963,endwok joy reid racebait homophob antiamerica opinion comment empti antithesi journal anyon surpris continu longrun streak worthless hang florida 👍 usa florida hurricaneian,sabertooth mongoose,2022-09-30 17:54:22+00:00,1,0,,"['usa', 'florida', 'hurricaneian']"
963,doc_964,wish safeti secur queen south carolina hurricaneian,soma chextra,2022-09-30 17:54:21+00:00,0,0,https://twitter.com/SomaChextra/status/1575906910477332480/photo/1,['hurricaneian']
964,doc_965,🚨to donat fund fellow american florida impact hurricaneian go,patty jones 🇺🇸 pro-life *news isn’t truth!,2022-09-30 17:54:19+00:00,0,0,,"['florida', 'hurricaneian']"
965,doc_966,got new hous trackhawk shout ian fr hurricaneian,"jack sparrow , never broke again",2022-09-30 17:54:16+00:00,0,0,https://twitter.com/IGFreshgxld/status/1575906892848967681/photo/1,['hurricaneian']
966,doc_967,thenew nasa share terrifi footag hurricaneian captur space,ndtv,2022-09-30 17:54:12+00:00,23,1,https://twitter.com/ndtv/status/1575906874888966145/video/1,"['thenews', 'hurricaneian']"
967,doc_968,deaniemil live middl nc windi light rain sinc earli morn rain start pickup intens bit amaz consid hour charleston sc hurricaneian make second landfal,pamelas,2022-09-30 17:54:12+00:00,1,0,,['hurricaneian']
968,doc_969,guess uk turn face hurricaneian 😕 im onlin later mean power dont think full forc countri still strong case,𝓢𝐏𝐈𝐃𝐄𝐑-𝐌𝐀𝐍 𝐙𝐄𝐑𝐎,2022-09-30 17:54:10+00:00,1,0,,['hurricaneian']
969,doc_970,republican vote — keep govern open — disast relief jackson ms alaska new mexico puerto rico florida commun hit hurricaneian — help work famili pay higher energi bill vote,christine pelosi,2022-09-30 17:54:09+00:00,779,362,https://twitter.com/thehill/status/1575904810162962434/video/1,['hurricaneian']
970,doc_971,val deme valdem new tweet i’m pray everyon affect hurrican ian we’r go get togeth florida florida hurricaneian hurrican,nooluyo35,2022-09-30 17:54:09+00:00,0,0,,"['florida', 'hurricaneian', 'hurricane']"
971,doc_972,break presid biden speak white hous ask peopl path hurricaneian take heed warn say damag florida unpreced,newsbell,2022-09-30 17:54:01+00:00,0,0,https://twitter.com/newsbell/status/1575906830420787214/photo/1,['hurricaneian']
972,doc_973,🤯🌪️south carolina becom ocean hurrican ian caus flood charleston hurricaneian ianhurrican hurricanian hurricanefiona hellojimtob florida miami cuba keywest ian,neverwaste,2022-09-30 17:53:58+00:00,2,1,,"['hurricaneian', 'ianhurricane', 'hurricanian', 'hurricanefiona', 'hellojimtober', 'florida', 'miami', 'cuba', 'keywest', 'ian']"
973,doc_974,it’ gonna rain next day thank hurricaneian 😓,colombian papi 💲🇨🇴,2022-09-30 17:53:52+00:00,0,0,,['hurricaneian']
974,doc_975,damag florida stupid littl desanti wast million polit stunt hurricaneian,volleyballologist #bringhomebrittneygriner,2022-09-30 17:53:48+00:00,0,0,,['hurricaneian']
975,doc_976,fri pan tower cam hurricaneian wilmingtonnc carolinabeach,circa1911 🇺🇸,2022-09-30 17:53:48+00:00,0,0,,"['hurricaneian', 'wilmingtonnc', 'carolinabeach']"
976,doc_977,evacu shelter open florida south carolina georgia thursday night ten thousand peopl sought refug hurricaneian mani red cross partner shelter visit help peopl affect hurrican ian,red cross central california,2022-09-30 17:53:41+00:00,0,0,https://twitter.com/RedCrossCCR/status/1575906746446512133/photo/1,['hurricaneian']
977,doc_978,due hurricaneian state offic close phone still answer question concern pleas give us call stay safe,nrcs-north carolina,2022-09-30 17:53:36+00:00,0,0,https://twitter.com/NRCS_NC/status/1575906724925517825/photo/1,['hurricaneian']
978,doc_979,🤯🌪️south carolina becom ocean hurrican ian caus flood charleston hurricaneian ianhurrican hurricanian hurricanefiona hellojimtob florida miami cuba keywest ian,"🖼️nft is life! collector, shiller & promoter",2022-09-30 17:53:30+00:00,0,0,,"['hurricaneian', 'ianhurricane', 'hurricanian', 'hurricanefiona', 'hellojimtober', 'florida', 'miami', 'cuba', 'keywest', 'ian']"
979,doc_980,hurrican ian food lion feed mobil support red cross relief effort ian hurricaneian,augusta free press,2022-09-30 17:53:27+00:00,1,0,,"['ian', 'hurricaneian']"
980,doc_981,didn’t rain much area windi think wind gust around mph hurricaneian,😎 moët papi,2022-09-30 17:53:26+00:00,0,0,,['hurricaneian']
981,doc_982,week noaahurrhunt noaaaoml flew cat hurricaneian landfal despit extrem turbul crew success launch pound altiu drone collect critic measur understand hurrican system,noaa research,2022-09-30 17:53:24+00:00,58,17,https://twitter.com/NOAAResearch/status/1575906674900348928/video/1,"['hurricaneian', 'hurricane']"
982,doc_983,everyth happen florida time close border mani crimin enter us give help regul know floridian need money help hurricaneian biden,romina wi,2022-09-30 17:53:16+00:00,1,0,,"['floridians', 'hurricaneian', 'biden']"
983,doc_984,legaci harbour marina fort myer boat owner retriev belong still access one complain looter sinc hurrican hit ⁦skynews⁩ hurricaneian,james matthews,2022-09-30 17:53:14+00:00,1,0,https://twitter.com/jamesmatthewsky/status/1575906630876778496/photo/1,['hurricaneian']
984,doc_985,hurricaneian,ro$,2022-09-30 17:53:07+00:00,2,0,https://twitter.com/Rozrunsabit/status/1575906603454574592/video/1,['hurricaneian']
985,doc_986,governor desanti visit hurrican zone st augustin emerg brief pm hurricaneian,chris nelson 🇺🇸 🏝,2022-09-30 17:53:07+00:00,4,0,https://twitter.com/ReOpenChris/status/1575906601285738496/photo/1,['hurricaneian']
986,doc_987,look forward serv monday planhillsborough offic counti center reopen thought neighbor hardest hit hurricaneian lost much 🙏🙏🙏 visit text disast help,plan hillsborough,2022-09-30 17:53:05+00:00,2,2,https://twitter.com/PlnHillsborough/status/1575906592763314176/photo/1,"['planhillsborough', 'hurricaneian']"
987,doc_988,pawley island get hit hard hurricaneian,paige lobdell,2022-09-30 17:53:01+00:00,2,2,,['hurricaneian']
988,doc_989,take photo damag take photo start clean thing ian hurricaneian public adjust know thing,florida weather farmer,2022-09-30 17:52:54+00:00,0,0,,"['ian', 'hurricaneian']"
989,doc_990,matura zoominmanila extendduedatestoday ponniyinselvanfdf audioleak debatenaglobo etsysel goat𓃵 hurricaneian ca tax practition due date extent,मायावी,2022-09-30 17:52:54+00:00,3,1,https://twitter.com/terabaapu00/status/1575906545900322816/video/1,"['matura2023', 'zoominmanila', 'extend_due_dates_today', 'ponniyinselvanfdfs', 'audioleaks', 'debatenaglobo', 'etsyseller', 'goat𓃵', 'hurricaneian']"
990,doc_991,stormi friend 💧🌈🙏 link help find groceri store open hour publix hurricaneian ladylakemus,ladylake pr 👑,2022-09-30 17:52:53+00:00,0,0,,['hurricaneian']
991,doc_992,louisiana nation guard send assist florida hurricaneian usnationalguard,u.s. army,2022-09-30 17:52:44+00:00,176,50,https://twitter.com/USArmy/status/1575906506909753345/photo/1,"['florida', 'hurricaneian']"
992,doc_993,biden hurricaneian crisi florida american crisi,elizabeth crisp 🦩,2022-09-30 17:52:44+00:00,6,2,,['hurricaneian']
993,doc_994,coupl hour later storm surg locat exceed forecast top time myrtlebeach sc top wilmington nc hurricaneian ncwx scwx,kieran bhatia,2022-09-30 17:52:42+00:00,5,1,https://twitter.com/KieranBhatia/status/1575906498127220736/photo/1,"['myrtlebeach', 'wilmington', 'hurricaneian', 'ncwx', 'scwx']"
